name,rating,reviews,address,phone,url
Dyu Art Cafe,4.5,21309,"Dyu art cafe No 23, KHB MIG Colony, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",9895674244,https://www.google.com/maps/place/Dyu+Art+Cafe/data=!4m7!3m6!1s0x3bae144f0a0442f3:0x5cf634310edf27a8!8m2!3d12.9373267!4d77.6175837!16s%2Fg%2F1ydpv9q4x!19sChIJ80IECk8UrjsRqCffDjE09lw?authuser=0&hl=en&rclk=1
The Bangalore Cafe,4.3,9535,"4, Kengal Hanumanthaiah Rd, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027",9844240786,https://www.google.com/maps/place/The+Bangalore+Cafe/data=!4m7!3m6!1s0x3bae155f99494ba3:0x33f4caf3caaef5d2!8m2!3d12.9615596!4d77.5946966!16s%2Fg%2F11fgm5s311!19sChIJo0tJmV8VrjsR0vWuyvPK9DM?authuser=0&hl=en&rclk=1
Cafe Azzure,4.1,8168,"52, Mahatma Gandhi Rd, Haridevpur, Shanthala Nagar, Shivaji Nagar, Bengaluru, Karnataka 560001",8069379088,https://www.google.com/maps/place/Cafe+Azzure/data=!4m7!3m6!1s0x3bae168766401d1d:0x2cbcc932c9aa36a1!8m2!3d12.975012!4d77.6076558!16s%2Fg%2F11c20by8pf!19sChIJHR1AZocWrjsRoTaqyTLJvCw?authuser=0&hl=en&rclk=1
little Cafe,3.9,516,"21, National High School Road, Vishweshwarapura, Shankarapura, Bengaluru, Karnataka 560004",9741248269,https://www.google.com/maps/place/little+Cafe/data=!4m7!3m6!1s0x3bae15ec23b1d307:0x6ca6939aa6bf084f!8m2!3d12.9489361!4d77.5774911!16s%2Fg%2F11g86yjyk0!19sChIJB9OxI-wVrjsRTwi_ppqTpmw?authuser=0&hl=en&rclk=1
NEW HASHTAG CAFE,4.7,571,"No1,35,5th floor, Brigade Rd, above hotel brigade royal, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",8660251990,https://www.google.com/maps/place/NEW+HASHTAG+CAFE/data=!4m7!3m6!1s0x3bae17012ec28d7f:0xfafe659e50e36ed5!8m2!3d12.9734776!4d77.6077506!16s%2Fg%2F11jqxg50g8!19sChIJf43CLgEXrjsR1W7jUJ5l_vo?authuser=0&hl=en&rclk=1
Willys Top Cafe,3.6,628,"23, 3rd Floor, 26th Main Rd, opposite Ragigudda arch, Putlanpalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041",7795839478,https://www.google.com/maps/place/Willys+Top+Cafe/data=!4m7!3m6!1s0x3bae1509280368c5:0x88e15a7592d8eac2!8m2!3d12.917006!4d77.5934438!16s%2Fg%2F11dyb9mxhd!19sChIJxWgDKAkVrjsRwurYknVa4Yg?authuser=0&hl=en&rclk=1
The Café at Saanchi,4.6,280,"No.5, Setlur Street, Langford Town, Richmond Town, Bengaluru, Karnataka 560025",6366204909,https://www.google.com/maps/place/The+Caf%C3%A9+at+Saanchi/data=!4m7!3m6!1s0x3bae15d25a89187d:0x6771cf3e866849b9!8m2!3d12.958318!4d77.604375!16s%2Fg%2F11f1wvbm2w!19sChIJfRiJWtIVrjsRuUlohj7PcWc?authuser=0&hl=en&rclk=1
Bangalore Cafe,4.3,79,"No. 55, AS Char St, Jolly Mohalla, Ranasinghpete, Sultanpete, Bengaluru, Karnataka 560053",7829929493,https://www.google.com/maps/place/Bangalore+Cafe/data=!4m7!3m6!1s0x3bae15e2abafe2ff:0xc08aa632a549f394!8m2!3d12.9655442!4d77.5736209!16s%2Fg%2F1pp2txpdt!19sChIJ_-Kvq-IVrjsRlPNJpTKmisA?authuser=0&hl=en&rclk=1
Cafe Max,4.2,1775,"MSK Plaza, 3rd Main Rd, Defence Colony, Indiranagar, Bengaluru, Karnataka 560038",8041200469,https://www.google.com/maps/place/Cafe+Max/data=!4m7!3m6!1s0x3bae16afa87f16c3:0x3cd23516cb4e9525!8m2!3d12.9754683!4d77.6412894!16s%2Fg%2F12hlfxhnw!19sChIJwxZ_qK8WrjsRJZVOyxY10jw?authuser=0&hl=en&rclk=1
Cafe Noir,4.2,2879,"UB City, Unit No 206, The Collection, No 24, Vittal Mallya Rd, Bengaluru, Karnataka 560001",8040982050,https://www.google.com/maps/place/Cafe+Noir/data=!4m7!3m6!1s0x3bae1677673c026d:0x63ecec8574add020!8m2!3d12.9717869!4d77.5960995!16s%2Fg%2F1tcxy7zj!19sChIJbQI8Z3cWrjsRINCtdIXs7GM?authuser=0&hl=en&rclk=1
Onix Café,4.6,66,"House 2nd Floor, Ameen, 28, New Bamboo Bazar Rd, Sulthangunta, Shivaji Nagar, Bengaluru, Karnataka 560051",9886079272,https://www.google.com/maps/place/Onix+Caf%C3%A9/data=!4m7!3m6!1s0x3bae17f1703d5b3d:0x4e944d4cc0b441a7!8m2!3d12.9930415!4d77.6068499!16s%2Fg%2F11gns9_5qx!19sChIJPVs9cPEXrjsRp0G0wExNlE4?authuser=0&hl=en&rclk=1
