Name,rating,reviews,Address,phone,url
Humming Bird Cafe,4.1,7430,"Madhapur Rd, near Maharaja Chat, next to Vellanki Foods, Sri Rama Colony, Jubilee Hills, Hyderabad, Telangana 500033",9885706978.0,https://www.google.com/maps/place/Humming+Bird+Cafe/data=!4m7!3m6!1s0x3bcb914362217195:0x2bc424f86255f98a!8m2!3d17.4404432!4d78.3974669!16s%2Fg%2F11gg73fmpg!19sChIJlXEhYkORyzsRivlVYvgkxCs?authuser=0&hl=en&rclk=1
Cafe Graffiti,4.2,3037,"8-2-672, 1/A, Rd Number 13, Mithila Nagar, Banjara Hills, Hyderabad, Telangana 500034",8712102020.0,https://www.google.com/maps/place/Cafe+Graffiti/data=!4m7!3m6!1s0x3bcb9739375e1fcb:0x74aa995534bbad0a!8m2!3d17.4090953!4d78.4480747!16s%2Fg%2F11b7q5_8v0!19sChIJyx9eNzmXyzsRCq27NFWZqnQ?authuser=0&hl=en&rclk=1
Aaromalé - Café & Creative Community,4.4,3314,"A-72, Film Nagar Rd Number 12, Giani Zail Singh Nagar, Film Nagar, Hyderabad, Telangana 500096",9573401750.0,https://www.google.com/maps/place/Aaromal%C3%A9+-+Caf%C3%A9+%26+Creative+Community/data=!4m7!3m6!1s0x3bcb9737ec4c17e5:0xe0addfbab08bce9e!8m2!3d17.4128983!4d78.4065262!16s%2Fg%2F11h4dkbttl!19sChIJ5RdM7DeXyzsRns6LsLrfreA?authuser=0&hl=en&rclk=1
Roastery Coffee House,4.4,12272,"418, 8-2, 287/12, Road No. 14, BNR Colony, Venkat Nagar, Banjara Hills, Hyderabad, Telangana 500034",6309590610.0,https://www.google.com/maps/place/Roastery+Coffee+House/data=!4m7!3m6!1s0x3bcb972ac27e4959:0xa3d14c260e61ddb9!8m2!3d17.423297!4d78.4315522!16s%2Fg%2F11fx7sgwn0!19sChIJWUl-wiqXyzsRud1hDiZM0aM?authuser=0&hl=en&rclk=1
The Gallery Cafe,4.2,1987,"H. No, 8-2-465, Street No. 4, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",9030616161.0,https://www.google.com/maps/place/The+Gallery+Cafe/data=!4m7!3m6!1s0x3bcb973045ec8b77:0xaa096ab720ecf6d2!8m2!3d17.4207296!4d78.4465509!16s%2Fg%2F11bc7r9sly!19sChIJd4vsRTCXyzsR0vbsILdqCao?authuser=0&hl=en&rclk=1
Cafe Niloufer Classic,4.4,21561,"V.P, 11-5-422/C/B, Red Hills Rd, Lakdikapul, Hyderabad, Telangana 500004",8466868670.0,https://www.google.com/maps/place/Cafe+Niloufer+Classic/data=!4m7!3m6!1s0x3bcb9768683e2d57:0x7d0b5f9d5988c858!8m2!3d17.4007435!4d78.4628457!16s%2Fg%2F1tfm537g!19sChIJVy0-aGiXyzsRWMiIWZ1fC30?authuser=0&hl=en&rclk=1
Autumn Leaf Cafe,4.2,5678,"plot no, 823, Rd Number 41, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",7330905551.0,https://www.google.com/maps/place/Autumn+Leaf+Cafe/data=!4m7!3m6!1s0x3bcb9148b079e15b:0x772c0e99c1165d42!8m2!3d17.433863!4d78.401979!16s%2Fg%2F11byyhqx7x!19sChIJW-F5sEiRyzsRQl0WwZkOLHc?authuser=0&hl=en&rclk=1
Driven Cafe,4.3,6307,"Kapil Towers, Opposite to ICICI Bank Nanakram Guda, ISB Rd, Financial District, Gachibowli, Hyderabad, Telangana 500008",9160018420.0,https://www.google.com/maps/place/Driven+Cafe/data=!4m7!3m6!1s0x3bcb9488fde35c89:0x8e23c060df7a001e!8m2!3d17.4219444!4d78.3386111!16s%2Fg%2F11cncg8ynh!19sChIJiVzj_YiUyzsRHgB632DAI44?authuser=0&hl=en&rclk=1
Cravery Cafe,4.5,1430,"Film Nagar, Plot No 416A, Rd Number 78, Jubilee Hills, Hyderabad, Telangana 500033",9346501863.0,https://www.google.com/maps/place/Cravery+Cafe/data=!4m7!3m6!1s0x3bcb976869a35bd5:0x37138d15aaa9dd6!8m2!3d17.4150587!4d78.4084877!16s%2Fg%2F11jgj2kr43!19sChIJ1VujaWiXyzsR1p2qWtE4cQM?authuser=0&hl=en&rclk=1
The Hole In The Wall Cafe,4.1,2893,"Rina Rd, Road, 45 8-2-293/82/A/1355/F, Rd Number 45, Jubilee Hills, Hyderabad, Telangana 500033",9398262097.0,https://www.google.com/maps/place/The+Hole+In+The+Wall+Cafe/data=!4m7!3m6!1s0x3bcb9134d47c6ec1:0xfd2faf6adbb049d1!8m2!3d17.4237318!4d78.4101297!16s%2Fg%2F11f3v8t2zk!19sChIJwW581DSRyzsR0Umw22qvL_0?authuser=0&hl=en&rclk=1
